,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
31,2020-10-11,19:45,UEFA Nations League,League B,Sun,Away,L,0,1,sct Scotland,55.0,93.0,Marek Hamšík,4-3-3,Davide Massa,Match Report,,9,2,0,0,0,0,Slovakia
32,2020-10-14,20:45,UEFA Nations League,League B,Wed,Home,L,2,3,il Israel,50.0,,Marek Hamšík,4-2-3-1,Alejandro Hernández,Match Report,,14,5,0,0,4,0,Slovakia
33,2020-11-15,15:00,UEFA Nations League,League B,Sun,Home,W,1,0,sct Scotland,51.0,,Marek Hamšík,4-1-4-1,István Kovács,Match Report,,8,5,0,0,5,1,Slovakia
34,2020-11-18,20:45,UEFA Nations League,League B,Wed,Away,L,0,2,cz Czechia,50.0,,Marek Hamšík,4-1-4-1,Cüneyt Çakιr,Match Report,,7,2,0,0,4,0,Slovakia
35,2020-09-03,21:45,UEFA Nations League,League B,Thu,Away,W,1,0,tr Türkiye,41.0,,Ádám Szalai,4-2-3-1,Artur Dias,Match Report,,14,5,0,0,4,1,Hungary
36,2020-09-06,18:00,UEFA Nations League,League B,Sun,Home,L,2,3,ru Russia,60.0,,Ádám Szalai,3-5-1-1,Maurizio Mariani,Match Report,,11,7,0,0,0,0,Hungary
37,2020-10-11,20:45,UEFA Nations League,League B,Sun,Away,W,1,0,rs Serbia,42.0,,Péter Gulácsi,3-5-2,Sandro Schärer,Match Report,,4,3,0,0,3,1,Hungary
38,2020-10-14,21:45,UEFA Nations League,League B,Wed,Away,D,0,0,ru Russia,43.0,4821.0,Ádám Szalai,3-4-1-2,Michael Oliver,Match Report,,6,0,0,0,1,1,Hungary
39,2020-11-15,20:45,UEFA Nations League,League B,Sun,Home,D,1,1,rs Serbia,51.0,,Nemanja Nikolić,3-4-3,Glenn Nyberg,Match Report,,16,5,0,0,3,0,Hungary
40,2020-11-18,20:45,UEFA Nations League,League B,Wed,Home,W,2,0,tr Türkiye,52.0,,Nemanja Nikolić,3-4-1-2,Ivan Kružliak,Match Report,,9,4,0,0,5,1,Hungary
41,2020-09-03,21:45,UEFA Nations League,League B,Thu,Away,L,1,3,ru Russia,62.0,,Dušan Tadić,3-4-3,William Collum,Match Report,,15,6,0,0,1,0,Serbia
42,2020-09-06,20:45,UEFA Nations League,League B,Sun,Home,D,0,0,tr Türkiye,42.0,,Aleksandar Kolarov,3-5-1-1,Aliaksei Kulbakou,Match Report,,9,1,0,0,4,1,Serbia
43,2020-10-11,20:45,UEFA Nations League,League B,Sun,Home,L,0,1,hu Hungary,58.0,,Dušan Tadić,3-5-2,Sandro Schärer,Match Report,,14,4,0,0,2,0,Serbia
44,2020-10-14,21:45,UEFA Nations League,League B,Wed,Away,D,2,2,tr Türkiye,46.0,519.0,Aleksandar Kolarov,3-5-2,Georgi Kabakov,Match Report,,19,7,1,1,5,0,Serbia
45,2020-11-15,20:45,UEFA Nations League,League B,Sun,Away,D,1,1,hu Hungary,49.0,,Dušan Tadić,3-5-2,Glenn Nyberg,Match Report,,13,4,0,0,3,0,Serbia
46,2020-11-18,20:45,UEFA Nations League,League B,Wed,Home,W,5,0,ru Russia,44.0,,Aleksandar Mitrović,3-5-2,Anthony Taylor,Match Report,,12,8,0,0,7,1,Serbia
47,2020-09-04,20:45,UEFA Nations League,League A,Fri,Home,D,1,1,ba Bosnia & Herz'na,61.0,,Leonardo Bonucci,4-3-3,Anastasios Sidiropoulos,Match Report,,20,4,0,0,3,0,Italy
48,2020-09-07,20:45,UEFA Nations League,League A,Mon,Away,W,1,0,nl Netherlands,57.0,,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,,18,4,0,0,3,1,Italy
49,2020-10-11,20:45,UEFA Nations League,League A,Sun,Away,D,0,0,pl Poland,61.0,9200.0,Leonardo Bonucci,4-3-3,José Sánchez,Match Report,,17,2,0,0,2,1,Italy
50,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,D,1,1,nl Netherlands,55.0,623.0,Giorgio Chiellini,4-1-4-1,Anthony Taylor,Match Report,,7,6,0,0,2,0,Italy
51,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,pl Poland,62.0,,Alessandro Florenzi,4-3-3,Clément Turpin,Match Report,,19,4,1,1,0,1,Italy
52,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,0,ba Bosnia & Herz'na,64.0,,Alessandro Florenzi,4-3-3,Artur Dias,Match Report,,17,4,0,0,1,1,Italy
53,2021-10-06,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,1,2,es Spain,25.0,33524.0,Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,,0,0,0,0,0,0,Italy
54,2021-10-10,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,2,1,be Belgium,40.0,16724.0,Gianluigi Donnarumma,4-3-3,Srđan Jovanović,Match Report,,0,0,1,1,0,0,Italy
55,2020-09-04,20:45,UEFA Nations League,League A,Fri,Home,W,1,0,pl Poland,64.0,,Virgil van Dijk,4-3-3,Georgi Kabakov,Match Report,,14,4,0,0,1,1,Netherlands
56,2020-09-07,20:45,UEFA Nations League,League A,Mon,Home,L,0,1,it Italy,43.0,,Virgil van Dijk,4-3-3,Felix Brych,Match Report,,11,3,0,0,3,0,Netherlands
57,2020-10-11,18:00,UEFA Nations League,League A,Sun,Away,D,0,0,ba Bosnia & Herz'na,69.0,1600.0,Virgil van Dijk,4-3-3,István Kovács,Match Report,,15,4,0,0,1,1,Netherlands
58,2020-10-14,20:45,UEFA Nations League,League A,Wed,Away,D,1,1,it Italy,45.0,623.0,Virgil van Dijk,4-1-4-1,Anthony Taylor,Match Report,,14,4,0,0,5,0,Netherlands
59,2020-11-15,18:00,UEFA Nations League,League A,Sun,Home,W,3,1,ba Bosnia & Herz'na,60.0,,Georginio Wijnaldum,4-3-3,François Letexier,Match Report,,17,10,0,0,1,0,Netherlands
60,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,1,pl Poland,54.0,,Georginio Wijnaldum,4-3-3,Orel Grinfeeld,Match Report,,19,6,1,1,1,0,Netherlands
61,2020-09-04,20:45,UEFA Nations League,League A,Fri,Away,L,0,1,nl Netherlands,36.0,,Kamil Glik,4-4-1-1,Georgi Kabakov,Match Report,,2,1,0,0,3,0,Poland
62,2020-09-07,20:45,UEFA Nations League,League A,Mon,Away,W,2,1,ba Bosnia & Herz'na,55.0,,Kamil Glik,4-2-3-1,Cüneyt Çakιr,Match Report,,14,5,0,0,1,0,Poland
63,2020-10-11,20:45,UEFA Nations League,League A,Sun,Home,D,0,0,it Italy,39.0,9200.0,Robert Lewandowski,4-2-3-1,José Sánchez,Match Report,,4,2,0,0,2,1,Poland
64,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,W,3,0,ba Bosnia & Herz'na,65.0,8152.0,Robert Lewandowski,4-2-3-1,Craig Pawson,Match Report,,20,8,0,0,2,1,Poland
65,2020-11-15,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,it Italy,38.0,,Robert Lewandowski,4-2-3-1,Clément Turpin,Match Report,,2,0,0,0,2,0,Poland
66,2020-11-18,20:45,UEFA Nations League,League A,Wed,Home,L,1,2,nl Netherlands,46.0,,Robert Lewandowski,4-2-3-1,Orel Grinfeeld,Match Report,,9,2,0,0,4,0,Poland
