,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
14,2020-10-11,19:45,UEFA Nations League,League B,Sun,Away,W,1,0,Northern Ireland,56.0,600.0,Julian Baumgartlinger,4-4-2,Petr Ardeleánu,Match Report,,13.0,5.0,0,0,1.0,1,Austria,,,2,3.0
2,2020-10-11,20:00,UEFA Nations League,League C,Sun,Away,D,2,2,Armenia,60.0,,Jaba Kankava,4-5-1,Ivan Bebek,Match Report,,14.0,6.0,0,0,2.0,0,Georgia,,,2,2.0
25,2020-10-11,19:45,UEFA Nations League,League B,Sun,Home,W,1,0,Slovakia,45.0,93.0,Andrew Robertson,4-3-3,Davide Massa,Match Report,,11.0,1.0,0,0,2.0,1,Scotland,,,1,3.0
63,2020-10-11,20:45,UEFA Nations League,League A,Sun,Home,D,0,0,Italy,39.0,9200.0,Robert Lewandowski,4-2-3-1,José Sánchez,Match Report,,4.0,2.0,0,0,2.0,1,Poland,,,1,2.0
89,2020-10-11,20:45,UEFA Nations League,League A,Sun,Home,D,0,0,Portugal,50.0,1000.0,Hugo Lloris,4-2-1-1-2,Carlos del Cerro,Match Report,,10.0,3.0,0,0,3.0,1,France,,,1,2.0
97,2020-10-11,20:45,UEFA Nations League,League A,Sun,Away,D,0,0,France,51.0,1000.0,Cristiano Ronaldo,4-3-3,Carlos del Cerro,Match Report,,10.0,3.0,0,0,3.0,1,Portugal,,,2,2.0
77,2020-10-11,18:45,UEFA Nations League,League A,Sun,Away,W,3,0,Iceland,66.0,60.0,Simon Kjær,4-3-3,Bojan Pandzic,Match Report,,16.0,4.0,0,0,3.0,1,Denmark,,,2,3.0
69,2020-10-11,17:00,UEFA Nations League,League A,Sun,Away,L,1,2,England,53.0,,Kevin De Bruyne,3-4-3,Tobias Stieler,Match Report,,11.0,2.0,1,1,1.0,0,Belgium,,,2,1.0
20,2020-10-11,18:00,UEFA Nations League,League B,Sun,Away,L,0,4,Norway,50.0,200.0,Ciprian Tătărușanu,4-3-3,Ivan Kružliak,Match Report,,12.0,3.0,0,0,6.0,0,Romania,,,2,1.0
103,2020-10-11,18:00,UEFA Nations League,League A,Sun,Home,W,2,1,Sweden,54.0,2020.0,Luka Modrić,4-3-3,John Beaton,Match Report,,14.0,7.0,0,0,2.0,0,Croatia,,,1,3.0
124,2020-10-13,20:45,UEFA Nations League,League A,Tue,Home,D,3,3,Switzerland,63.0,,Manuel Neuer,4-2-3-1,Ruddy Buquet,Match Report,,18.0,7.0,0,0,5.0,0,Germany,,,1,2.0
116,2020-10-13,21:45,UEFA Nations League,League A,Tue,Away,L,0,1,Ukraine,72.0,10495.0,Sergio Ramos,4-3-3,Paweł Gil,Match Report,,21.0,8.0,0,0,0.0,0,Spain,,,2,1.0
135,2020-10-13,21:45,UEFA Nations League,League A,Tue,Home,W,1,0,Spain,28.0,10495.0,Andriy Yarmolenko,4-3-3,Paweł Gil,Match Report,,3.0,1.0,0,0,8.0,1,Ukraine,,,1,3.0
130,2020-10-13,20:45,UEFA Nations League,League A,Tue,Away,D,3,3,Germany,37.0,,Granit Xhaka,4-4-2,Ruddy Buquet,Match Report,,13.0,8.0,0,0,4.0,0,Switzerland,,,2,2.0
38,2020-10-14,21:45,UEFA Nations League,League B,Wed,Away,D,0,0,Russia,43.0,4821.0,Ádám Szalai,3-4-1-2,Michael Oliver,Match Report,,6.0,0.0,0,0,1.0,1,Hungary,,,2,2.0
26,2020-10-14,19:45,UEFA Nations League,League B,Wed,Home,W,1,0,Czechia,31.0,299.0,John McGinn,3-4-1-2,Felix Zwayer,Match Report,,5.0,1.0,0,0,6.0,1,Scotland,,,1,3.0
21,2020-10-14,21:45,UEFA Nations League,League B,Wed,Home,L,0,1,Austria,51.0,,Ciprian Tătărușanu,4-3-3,Daniel Stefański,Match Report,,8.0,2.0,0,0,2.0,0,Romania,,,1,1.0
44,2020-10-14,21:45,UEFA Nations League,League B,Wed,Away,D,2,2,Türkiye,46.0,519.0,Aleksandar Kolarov,3-5-2,Georgi Kabakov,Match Report,,19.0,7.0,1,1,5.0,0,Serbia,,,2,2.0
98,2020-10-14,19:45,UEFA Nations League,League A,Wed,Home,W,3,0,Sweden,49.0,5000.0,Pepe,4-1-4-1,Srđan Jovanović,Match Report,,17.0,6.0,0,0,3.0,1,Portugal,,,1,3.0
50,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,D,1,1,Netherlands,55.0,623.0,Giorgio Chiellini,4-1-4-1,Anthony Taylor,Match Report,,7.0,6.0,0,0,2.0,0,Italy,,,1,2.0
15,2020-10-14,21:45,UEFA Nations League,League B,Wed,Away,W,1,0,Romania,49.0,,Julian Baumgartlinger,4-4-2,Daniel Stefański,Match Report,,9.0,3.0,0,0,2.0,1,Austria,,,2,3.0
110,2020-10-14,19:45,UEFA Nations League,League A,Wed,Away,L,0,3,Portugal,51.0,5000.0,Marcus Berg,4-4-2,Srđan Jovanović,Match Report,,8.0,3.0,0,0,3.0,0,Sweden,,,2,1.0
104,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,L,1,2,France,52.0,6266.0,Luka Modrić,4-2-3-1,Björn Kuipers,Match Report,,10.0,4.0,0,0,1.0,0,Croatia,,,1,1.0
32,2020-10-14,20:45,UEFA Nations League,League B,Wed,Home,L,2,3,Israel,50.0,,Marek Hamšík,4-2-3-1,Alejandro Hernández,Match Report,,14.0,5.0,0,0,4.0,0,Slovakia,,,1,1.0
70,2020-10-14,18:45,UEFA Nations League,League A,Wed,Away,W,2,1,Iceland,67.0,60.0,Romelu Lukaku,3-4-3,Andris Treimanis,Match Report,,9.0,2.0,1,1,1.0,0,Belgium,,,2,3.0
9,2020-10-14,19:00,UEFA Nations League,League C,Wed,Away,D,0,0,Lithuania,61.0,696.0,Etrit Berisha,4-2-3-1,Karim Abed,Match Report,,14.0,4.0,0,0,1.0,1,Albania,,,2,2.0
90,2020-10-14,20:45,UEFA Nations League,League A,Wed,Away,W,2,1,Croatia,48.0,6266.0,Hugo Lloris,4-3-1-2,Björn Kuipers,Match Report,,5.0,3.0,0,0,3.0,0,France,,,2,3.0
84,2020-10-14,19:45,UEFA Nations League,League A,Wed,Home,L,0,1,Denmark,44.0,,Harry Kane,5-3-2,Jesús Gil,Match Report,,15.0,5.0,0,0,3.0,0,England,,,1,1.0
58,2020-10-14,20:45,UEFA Nations League,League A,Wed,Away,D,1,1,Italy,45.0,623.0,Virgil van Dijk,4-1-4-1,Anthony Taylor,Match Report,,14.0,4.0,0,0,5.0,0,Netherlands,,,2,2.0
3,2020-10-14,20:45,UEFA Nations League,League C,Wed,Away,D,1,1,N. Macedonia,48.0,,Giorgi Loria,4-2-3-1,Bartosz Frankowski,Match Report,,10.0,4.0,0,0,1.0,0,Georgia,,,2,2.0
78,2020-10-14,19:45,UEFA Nations League,League A,Wed,Away,W,1,0,England,56.0,,Simon Kjær,4-3-3,Jesús Gil,Match Report,,10.0,4.0,1,1,4.0,1,Denmark,,,2,3.0
64,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,W,3,0,Bosnia & Herz'na,65.0,8152.0,Robert Lewandowski,4-2-3-1,Craig Pawson,Match Report,,20.0,8.0,0,0,2.0,1,Poland,,,1,3.0
165,2020-11-12,19:45,UEFA Euro Qualifying,Finals,Thu,Away,W,2,1,Northern Ireland,54.0,,Marek Hamšík,4-1-4-1,Felix Brych,Match Report,Required Extra Time,8.0,3.0,0,0,3.0,0,Slovakia,,,2,3.0
60,2020-11-12,20:45,UEFA Euro Qualifying,Finals,Thu,Home,D,1 (4),1 (5),Scotland,58.0,,Dušan Tadić,3-4-3,Antonio Matéu Lahoz,Match Report,Scotland won on penalty kicks following extra time,16.0,4.0,0,0,3.0,0,Serbia,,,1,2.0
137,2020-11-12,21:00,UEFA Euro Qualifying,Finals,Thu,Home,L,0,1,N. Macedonia,56.0,,Jaba Kankava,4-2-3-1,Anthony Taylor,Match Report,,11.0,2.0,0,0,1.0,0,Georgia,,,1,1.0
322,2020-11-12,20:45,UEFA Euro Qualifying,Finals,Thu,Away,D,1 (5),1 (4),Serbia,42.0,,Andrew Robertson,3-4-1-2,Antonio Matéu Lahoz,Match Report,Scotland won on penalty kicks following extra time,10.0,4.0,0,0,3.0,0,Scotland,,,2,2.0
180,2020-11-12,20:45,UEFA Euro Qualifying,Finals,Thu,Home,W,2,1,Iceland,73.0,,Ádám Szalai,3-5-2,Björn Kuipers,Match Report,,17.0,7.0,0,0,5.0,0,Hungary,,,1,3.0
136,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,L,1,3,Germany,45.0,,Andriy Pyatov,4-3-3,Ovidiu Hațegan,Match Report,,6.0,1.0,0,0,3.0,0,Ukraine,,,2,1.0
99,2020-11-14,19:45,UEFA Nations League,League A,Sat,Home,L,0,1,France,50.0,,Cristiano Ronaldo,4-2-3-1,Tobias Stieler,Match Report,,18.0,6.0,0,0,6.0,0,Portugal,,,1,1.0
105,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,L,1,2,Sweden,56.0,,Luka Modrić,4-2-3-1,Daniel Siebert,Match Report,,8.0,3.0,0,0,4.0,0,Croatia,,,2,1.0
131,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,D,1,1,Spain,29.0,,Granit Xhaka,4-4-1-1,William Collum,Match Report,,7.0,4.0,0,0,4.0,0,Switzerland,,,1,2.0
91,2020-11-14,19:45,UEFA Nations League,League A,Sat,Away,W,1,0,Portugal,50.0,,Hugo Lloris,4-3-3,Tobias Stieler,Match Report,,13.0,7.0,0,0,6.0,1,France,,,2,3.0
111,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,W,2,1,Croatia,44.0,,Marcus Berg,4-4-2,Daniel Siebert,Match Report,,11.0,6.0,0,0,3.0,0,Sweden,,,1,3.0
125,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,W,3,1,Ukraine,56.0,,Manuel Neuer,3-4-3,Ovidiu Hațegan,Match Report,,20.0,6.0,0,0,0.0,0,Germany,,,1,3.0
117,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,Switzerland,71.0,,Sergio Ramos,4-2-3-1,William Collum,Match Report,,20.0,7.0,0,2,2.0,0,Spain,,,2,2.0
59,2020-11-15,18:00,UEFA Nations League,League A,Sun,Home,W,3,1,Bosnia & Herz'na,60.0,,Georginio Wijnaldum,4-3-3,François Letexier,Match Report,,17.0,10.0,0,0,1.0,0,Netherlands,,,1,3.0
39,2020-11-15,20:45,UEFA Nations League,League B,Sun,Home,D,1,1,Serbia,51.0,,Nemanja Nikolić,3-4-3,Glenn Nyberg,Match Report,,16.0,5.0,0,0,3.0,0,Hungary,,,1,2.0
79,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,1,Iceland,58.0,141.0,Simon Kjær,4-3-2-1,Halil Umut Meler,Match Report,,11.0,3.0,2,2,3.0,0,Denmark,,,1,3.0
27,2020-11-15,15:00,UEFA Nations League,League B,Sun,Away,L,0,1,Slovakia,50.0,,John McGinn,4-3-3,István Kovács,Match Report,,14.0,5.0,0,0,4.0,0,Scotland,,,2,1.0
85,2020-11-15,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,Belgium,55.0,,Harry Kane,3-4-3,Danny Makkelie,Match Report,,16.0,3.0,0,0,1.0,0,England,,,2,1.0
45,2020-11-15,20:45,UEFA Nations League,League B,Sun,Away,D,1,1,Hungary,49.0,,Dušan Tadić,3-5-2,Glenn Nyberg,Match Report,,13.0,4.0,0,0,3.0,0,Serbia,,,2,2.0
10,2020-11-15,18:00,UEFA Nations League,League C,Sun,Home,W,3,1,Kazakhstan,60.0,,Etrit Berisha,3-4-3,Xavi Estrada,Match Report,,18.0,11.0,1,1,4.0,0,Albania,,,1,3.0
16,2020-11-15,20:45,UEFA Nations League,League B,Sun,Home,W,2,1,Northern Ireland,71.0,,Julian Baumgartlinger,4-4-2,Maurizio Mariani,Match Report,,11.0,3.0,0,0,1.0,0,Austria,,,1,3.0
71,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,England,45.0,,Jan Vertonghen,3-4-3,Danny Makkelie,Match Report,,8.0,3.0,0,0,2.0,1,Belgium,,,1,3.0
65,2020-11-15,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,Italy,38.0,,Robert Lewandowski,4-2-3-1,Clément Turpin,Match Report,,2.0,0.0,0,0,2.0,0,Poland,,,2,1.0
4,2020-11-15,21:00,UEFA Nations League,League C,Sun,Home,L,1,2,Armenia,71.0,,Jaba Kankava,4-2-3-1,Marco Guida,Match Report,,10.0,4.0,1,1,1.0,0,Georgia,,,1,1.0
51,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,Poland,62.0,,Alessandro Florenzi,4-3-3,Clément Turpin,Match Report,,19.0,4.0,1,1,0.0,1,Italy,,,1,3.0
33,2020-11-15,15:00,UEFA Nations League,League B,Sun,Home,W,1,0,Scotland,51.0,,Marek Hamšík,4-1-4-1,István Kovács,Match Report,,8.0,5.0,0,0,5.0,1,Slovakia,,,1,3.0
126,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,L,0,6,Spain,30.0,,Manuel Neuer,4-3-3,Andreas Ekberg,Match Report,,2.0,0.0,0,0,4.0,0,Germany,,,2,1.0
112,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,L,2,4,France,48.0,,Marcus Berg,4-4-2,Aliaksei Kulbakou,Match Report,,6.0,2.0,0,0,4.0,0,Sweden,,,2,1.0
100,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,W,3,2,Croatia,60.0,,Cristiano Ronaldo,4-3-3,Michael Oliver,Match Report,,17.0,8.0,0,0,1.0,0,Portugal,,,2,3.0
92,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,W,4,2,Sweden,52.0,,Hugo Lloris,4-4-2,Aliaksei Kulbakou,Match Report,,16.0,8.0,0,0,0.0,0,France,,,1,3.0
106,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,L,2,3,Portugal,41.0,,Luka Modrić,4-1-4-1,Michael Oliver,Match Report,,7.0,3.0,0,0,5.0,0,Croatia,,,1,1.0
118,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,W,6,0,Germany,70.0,,Sergio Ramos,4-2-3-1,Andreas Ekberg,Match Report,,23.0,10.0,0,0,0.0,1,Spain,,,1,3.0
28,2020-11-18,21:45,UEFA Nations League,League B,Wed,Away,L,0,1,Israel,51.0,,Andrew Robertson,4-3-3,Paweł Raczkowski,Match Report,,19.0,7.0,0,0,1.0,0,Scotland,,,2,1.0
34,2020-11-18,20:45,UEFA Nations League,League B,Wed,Away,L,0,2,Czechia,50.0,,Marek Hamšík,4-1-4-1,Cüneyt Çakιr,Match Report,,7.0,2.0,0,0,4.0,0,Slovakia,,,2,1.0
17,2020-11-18,20:45,UEFA Nations League,League B,Wed,Home,D,1,1,Norway,68.0,,Julian Baumgartlinger,4-4-2,Benoît Bastien,Match Report,,21.0,6.0,0,0,3.0,0,Austria,,,1,2.0
60,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,1,Poland,54.0,,Georginio Wijnaldum,4-3-3,Orel Grinfeeld,Match Report,,19.0,6.0,1,1,1.0,0,Netherlands,,,2,3.0
46,2020-11-18,20:45,UEFA Nations League,League B,Wed,Home,W,5,0,Russia,44.0,,Aleksandar Mitrović,3-5-2,Anthony Taylor,Match Report,,12.0,8.0,0,0,7.0,1,Serbia,,,1,3.0
11,2020-11-18,16:00,UEFA Nations League,League C,Wed,Home,W,3,2,Belarus,45.0,,Etrit Berisha,4-3-3,Radu Petrescu,Match Report,,10.0,4.0,1,1,2.0,0,Albania,,,1,3.0
66,2020-11-18,20:45,UEFA Nations League,League A,Wed,Home,L,1,2,Netherlands,46.0,,Robert Lewandowski,4-2-3-1,Orel Grinfeeld,Match Report,,9.0,2.0,0,0,4.0,0,Poland,,,1,1.0
86,2020-11-18,19:45,UEFA Nations League,League A,Wed,Home,W,4,0,Iceland,78.0,,Harry Kane,3-5-2,Fábio Veríssimo,Match Report,,25.0,10.0,0,0,0.0,1,England,,,1,3.0
72,2020-11-18,20:45,UEFA Nations League,League A,Wed,Home,W,4,2,Denmark,52.0,,Jan Vertonghen,3-4-3,Slavko Vinčič,Match Report,,8.0,5.0,0,0,2.0,0,Belgium,,,1,3.0
22,2020-11-18,19:45,UEFA Nations League,League B,Wed,Away,D,1,1,Northern Ireland,59.0,1060.0,Ciprian Tătărușanu,3-4-3,Sandro Schärer,Match Report,,7.0,3.0,0,0,0.0,0,Romania,,,2,2.0
5,2020-11-18,21:00,UEFA Nations League,League C,Wed,Home,D,0,0,Estonia,71.0,,Jaba Kankava,4-4-2,Irfan Peljto,Match Report,,12.0,2.0,0,0,0.0,1,Georgia,,,1,2.0
80,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,L,2,4,Belgium,48.0,,Simon Kjær,4-3-3,Slavko Vinčič,Match Report,,8.0,3.0,0,0,1.0,0,Denmark,,,2,1.0
40,2020-11-18,20:45,UEFA Nations League,League B,Wed,Home,W,2,0,Türkiye,52.0,,Nemanja Nikolić,3-4-1-2,Ivan Kružliak,Match Report,,9.0,4.0,0,0,5.0,1,Hungary,,,1,3.0
52,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,W,2,0,Bosnia & Herz'na,64.0,,Alessandro Florenzi,4-3-3,Artur Dias,Match Report,,17.0,4.0,0,0,1.0,1,Italy,,,2,3.0
343,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,1,Wales,75.0,,Jan Vertonghen,3-4-3,Cüneyt Çakιr,Match Report,,12.0,4.0,1,1,0.0,0,Belgium,,,1,3.0
177,2021-03-24,19:45,WCQ,First round,Wed,Home,W,1,0,Azerbaijan,67.0,,Cristiano Ronaldo,4-3-3,Daniel Siebert,Match Report,,29.0,14.0,0,0,0.0,1,Portugal,,,1,3.0
114,2021-03-24,20:45,WCQ,First round,Wed,Away,L,0,1,Slovenia,69.0,,Luka Modrić,4-2-3-1,Antonio Matéu Lahoz,Match Report,,11.0,3.0,0,0,3.0,0,Croatia,,,2,1.0
0,2021-03-24,20:00,WCQ,First round,Wed,Away,L,2,4,Türkiye,66.0,,Georginio Wijnaldum,4-3-3,Michael Oliver,Match Report,,20.0,9.0,0,1,1.0,0,Netherlands,,,2,1.0
372,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,2,Rep. of Ireland,56.0,,Dušan Tadić,3-4-3,Davide Massa,Match Report,,14.0,4.0,0,0,0.0,0,Serbia,,,1,3.0
134,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,1,Wales,75.0,,Jan Vertonghen,3-4-3,Cüneyt Çakιr,Match Report,,12.0,4.0,1,1,0.0,0,Belgium,,,1,3.0
264,2021-03-24,19:45,WCQ,First round,Wed,Home,W,1,0,Azerbaijan,67.0,,Cristiano Ronaldo,4-3-3,Daniel Siebert,Match Report,,29.0,14.0,0,0,0.0,1,Portugal,,,1,3.0
230,2021-03-24,20:00,WCQ,First round,Wed,Away,L,2,4,Türkiye,66.0,,Georginio Wijnaldum,4-3-3,Michael Oliver,Match Report,,20.0,9.0,0,1,1.0,0,Netherlands,,,2,1.0
210,2021-03-24,20:45,WCQ,First round,Wed,Away,L,0,1,Slovenia,69.0,,Luka Modrić,4-2-3-1,Antonio Matéu Lahoz,Match Report,,11.0,3.0,0,0,3.0,0,Croatia,,,2,1.0
52,2021-03-24,20:45,WCQ,First round,Wed,Home,D,1,1,Ukraine,63.0,,Hugo Lloris,4-2-2-2,Tobias Stieler,Match Report,,18.0,3.0,0,0,0.0,0,France,,,1,2.0
193,2021-03-24,20:45,WCQ,First round,Wed,Home,D,1,1,Ukraine,63.0,,Hugo Lloris,4-2-2-2,Tobias Stieler,Match Report,,18.0,3.0,0,0,0.0,0,France,,,1,2.0
163,2021-03-24,20:45,WCQ,First round,Wed,Home,W,3,2,Rep. of Ireland,56.0,,Dušan Tadić,3-4-3,Davide Massa,Match Report,,14.0,4.0,0,0,0.0,0,Serbia,,,1,3.0
357,2021-03-25,19:00,WCQ,First round,Thu,Away,W,2,0,Israel,50.0,5000.0,Simon Kjær,4-2-3-1,Craig Pawson,Match Report,,14.0,7.0,0,0,2.0,1,Denmark,,,2,3.0
17,2021-03-25,19:45,WCQ,First round,Thu,Home,W,5,0,San Marino,85.0,,Raheem Sterling,4-2-3-1,Kirill Levnikov,Match Report,,32.0,15.0,0,0,0.0,1,England,,,1,3.0
309,2021-03-25,20:45,WCQ,First round,Thu,Away,D,3.0,3.0,Hungary,64.0,,Robert Lewandowski,4-4-2,Felix Brych,Match Report,,10.0,3.0,0,0,1.0,0,Poland,,,2,2.0
98,2021-03-25,20:45,WCQ,First round,Thu,Home,W,3,0,Iceland,82.0,,Manuel Neuer,4-3-3,Srđan Jovanović,Match Report,,15.0,5.0,0,0,2.0,1,Germany,,,1,3.0
280,2021-03-25,19:00,WCQ,First round,Thu,Away,W,3,1,Bulgaria,70.0,,Granit Xhaka,3-4-1-2,Nikola Dabanović,Match Report,,13.0,5.0,0,0,1.0,0,Switzerland,,,2,3.0
84,2021-03-25,20:45,WCQ,First round,Thu,Home,D,1,1,Greece,80.0,,Sergio Ramos,4-3-3,Marco Guida,Match Report,,9.0,2.0,0,0,0.0,0,Spain,,,1,2.0
69,2021-03-25,19:00,WCQ,First round,Thu,Away,W,2,0,Israel,50.0,5000.0,Simon Kjær,4-2-3-1,Craig Pawson,Match Report,,14.0,7.0,0,0,2.0,1,Denmark,,,2,3.0
247,2021-03-25,19:45,WCQ,First round,Thu,Home,W,5,0,San Marino,85.0,,Raheem Sterling,4-2-3-1,Kirill Levnikov,Match Report,,32.0,15.0,0,0,0.0,1,England,,,1,3.0
34,2021-03-25,20:45,WCQ,First round,Thu,Away,D,3.0,3.0,Hungary,64.0,,Robert Lewandowski,4-4-2,Felix Brych,Match Report,,10.0,3.0,0,0,1.0,0,Poland,,,2,2.0
327,2021-03-25,20:45,WCQ,First round,Thu,Home,W,3,0,Iceland,82.0,,Manuel Neuer,4-3-3,Srđan Jovanović,Match Report,,15.0,5.0,0,0,2.0,1,Germany,,,1,3.0
295,2021-03-25,20:45,WCQ,First round,Thu,Home,D,1,1,Greece,80.0,,Sergio Ramos,4-3-3,Marco Guida,Match Report,,9.0,2.0,0,0,0.0,0,Spain,,,1,2.0
148,2021-03-25,19:00,WCQ,First round,Thu,Away,W,3,1,Bulgaria,70.0,,Granit Xhaka,3-4-1-2,Nikola Dabanović,Match Report,,13.0,5.0,0,0,1.0,0,Switzerland,,,2,3.0
178,2021-03-27,20:45,WCQ,First round,Sat,Away,D,2,2,Serbia,56.0,,Cristiano Ronaldo,4-3-3,Danny Makkelie,Match Report,,12.0,5.0,0,0,3.0,0,Portugal,,,2,2.0
231,2021-03-27,18:00,WCQ,First round,Sat,Home,W,2,0,Latvia,77.0,5000.0,Georginio Wijnaldum,4-3-3,Stéphanie Frappart,Match Report,,36.0,11.0,0,0,0.0,1,Netherlands,,,1,3.0
164,2021-03-27,20:45,WCQ,First round,Sat,Home,D,2,2,Portugal,44.0,,Dušan Tadić,3-4-1-2,Danny Makkelie,Match Report,,16.0,5.0,0,0,1.0,0,Serbia,,,1,2.0
211,2021-03-27,18:00,WCQ,First round,Sat,Home,W,1,0,Cyprus,69.0,,Luka Modrić,4-1-4-1,Kristo Tohver,Match Report,,17.0,3.0,0,0,2.0,1,Croatia,,,1,3.0
1,2021-03-27,18:00,WCQ,First round,Sat,Home,W,2,0,Latvia,77.0,5000.0,Georginio Wijnaldum,4-3-3,Stéphanie Frappart,Match Report,,36.0,11.0,0,0,0.0,1,Netherlands,,,1,3.0
373,2021-03-27,20:45,WCQ,First round,Sat,Home,D,2,2,Portugal,44.0,,Dušan Tadić,3-4-1-2,Danny Makkelie,Match Report,,16.0,5.0,0,0,1.0,0,Serbia,,,1,2.0
115,2021-03-27,18:00,WCQ,First round,Sat,Home,W,1,0,Cyprus,69.0,,Luka Modrić,4-1-4-1,Kristo Tohver,Match Report,,17.0,3.0,0,0,2.0,1,Croatia,,,1,3.0
135,2021-03-27,20:45,WCQ,First round,Sat,Away,D,1,1,Czechia,62.0,,Jan Vertonghen,3-4-3,William Collum,Match Report,,9.0,4.0,0,0,4.0,0,Belgium,,,2,2.0
265,2021-03-27,20:45,WCQ,First round,Sat,Away,D,2,2,Serbia,56.0,,Cristiano Ronaldo,4-3-3,Danny Makkelie,Match Report,,12.0,5.0,0,0,3.0,0,Portugal,,,2,2.0
344,2021-03-27,20:45,WCQ,First round,Sat,Away,D,1,1,Czechia,62.0,,Jan Vertonghen,3-4-3,William Collum,Match Report,,9.0,4.0,0,0,4.0,0,Belgium,,,2,2.0
328,2021-03-28,21:45,WCQ,First round,Sun,Away,W,1,0,Romania,66.0,,Manuel Neuer,4-3-3,Clément Turpin,Match Report,,18.0,9.0,0,0,2.0,1,Germany,,,2,3.0
70,2021-03-28,18:00,WCQ,First round,Sun,Home,W,8,0,Moldova,75.0,,Kasper Schmeichel,4-3-3,Aghayev Aliyev,Match Report,,18.0,11.0,1,1,2.0,1,Denmark,,,1,3.0
296,2021-03-28,20:00,WCQ,First round,Sun,Away,W,2,1,Georgia,79.0,,Sergio Busquets,4-3-3,Radu Petrescu,Match Report,,9.0,3.0,0,0,1.0,0,Spain,,,2,3.0
85,2021-03-28,20:00,WCQ,First round,Sun,Away,W,2,1,Georgia,79.0,,Sergio Busquets,4-3-3,Radu Petrescu,Match Report,,9.0,3.0,0,0,1.0,0,Spain,,,2,3.0
35,2021-03-28,20:45,WCQ,First round,Sun,Home,W,3.0,0.0,Andorra,85.0,,Robert Lewandowski,4-4-2◆,Erik Lambrechts,Match Report,,26.0,6.0,0,0,0.0,1,Poland,,,1,3.0
18,2021-03-28,18:00,WCQ,First round,Sun,Away,W,2,0,Albania,71.0,200.0,Harry Kane,4-3-3,Orel Grinfeeld,Match Report,,9.0,4.0,0,0,0.0,1,England,,,2,3.0
310,2021-03-28,20:45,WCQ,First round,Sun,Home,W,3.0,0.0,Andorra,85.0,,Robert Lewandowski,4-4-2◆,Erik Lambrechts,Match Report,,26.0,6.0,0,0,0.0,1,Poland,,,1,3.0
281,2021-03-28,20:45,WCQ,First round,Sun,Home,W,1,0,Lithuania,69.0,,Granit Xhaka,3-4-1-2,Mattias Gestranius,Match Report,,21.0,9.0,0,0,1.0,1,Switzerland,,,1,3.0
53,2021-03-28,19:00,WCQ,First round,Sun,Away,W,2,0,Kazakhstan,63.0,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou,Match Report,,15.0,9.0,0,1,0.0,1,France,,,2,3.0
248,2021-03-28,18:00,WCQ,First round,Sun,Away,W,2,0,Albania,71.0,200.0,Harry Kane,4-3-3,Orel Grinfeeld,Match Report,,9.0,4.0,0,0,0.0,1,England,,,2,3.0
194,2021-03-28,19:00,WCQ,First round,Sun,Away,W,2,0,Kazakhstan,63.0,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou,Match Report,,15.0,9.0,0,1,0.0,1,France,,,2,3.0
99,2021-03-28,21:45,WCQ,First round,Sun,Away,W,1,0,Romania,66.0,,Manuel Neuer,4-3-3,Clément Turpin,Match Report,,18.0,9.0,0,0,2.0,1,Germany,,,2,3.0
358,2021-03-28,18:00,WCQ,First round,Sun,Home,W,8,0,Moldova,75.0,,Kasper Schmeichel,4-3-3,Aghayev Aliyev,Match Report,,18.0,11.0,1,1,2.0,1,Denmark,,,1,3.0
