,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
28,2022-03-29,19:45,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,0,ci Côte d'Ivoire,,,,,Raheem Sterling,4-2-3-1,Erik Lambrechts,Match Report,,,,0,0,,1,England
29,2022-11-21,16:00,World Cup,Group stage,Mon,Neutral,W,6,2,ir IR Iran,2.1,1.4,77.0,45334.0,Harry Kane,4-2-3-1,Raphael Claus,Match Report,,13.0,7.0,0,0,1.0,0,England
30,2022-11-25,22:00,World Cup,Group stage,Fri,Neutral,D,0,0,us United States,0.8,0.6,55.0,68463.0,Harry Kane,4-2-3-1,Jesús Valenzuela,Match Report,,8.0,3.0,0,0,1.0,1,England
31,2022-11-29,22:00,World Cup,Group stage,Tue,Neutral,W,3,0,wls Wales,2.4,0.3,64.0,44297.0,Harry Kane,4-3-3,Slavko Vinčič,Match Report,,18.0,7.0,0,0,1.0,1,England
32,2022-12-04,22:00,World Cup,Round of 16,Sun,Neutral,W,3,0,sn Senegal,0.9,0.7,61.0,65985.0,Harry Kane,4-3-3,Iván Barton,Match Report,,8.0,4.0,0,0,1.0,1,England
33,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,L,1,2,fr France,2.4,0.9,57.0,68895.0,Harry Kane,4-3-3,Wilton Sampaio,Match Report,,14.0,6.0,1,2,3.0,0,England
34,2021-03-25,20:45,WCQ,First round,Thu,Away,D,3.0,3.0,hu Hungary,,,64.0,,Robert Lewandowski,4-4-2,Felix Brych,Match Report,,10.0,3.0,0,0,1.0,0,Poland
35,2021-03-28,20:45,WCQ,First round,Sun,Home,W,3.0,0.0,ad Andorra,,,85.0,,Robert Lewandowski,4-4-2◆,Erik Lambrechts,Match Report,,26.0,6.0,0,0,0.0,1,Poland
36,2021-03-31,19:45,WCQ,First round,Wed,Away,L,1.0,2.0,eng England,,,37.0,,Kamil Glik,3-4-3,Björn Kuipers,Match Report,,4.0,1.0,0,0,2.0,0,Poland
37,2021-09-02,20:45,WCQ,First round,Thu,Home,W,4.0,1.0,al Albania,,,49.0,38254.0,Robert Lewandowski,4-4-2,Maurizio Mariani,Match Report,,6.0,4.0,0,0,3.0,0,Poland
