,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
29,2022-06-07,20:45,UEFA Nations League,League B,Tue,Away,L,0,1,ba Bosnia & Herz'na,43.0,4500.0,Vlad Chiricheș,4-3-3,Sascha Stegemann,Match Report,,12,3,0,0,1,0,Romania
30,2022-06-11,21:45,UEFA Nations League,League B,Sat,Home,W,1,0,fi Finland,38.0,11503.0,Vlad Chiricheș,4-2-3-1,Harald Lechner,Match Report,,18,5,0,1,3,1,Romania
31,2022-06-14,21:45,UEFA Nations League,League B,Tue,Home,L,0,3,me Montenegro,60.0,11657.0,Vlad Chiricheș,4-3-3,João Pinheiro,Match Report,,7,2,0,0,2,0,Romania
32,2022-09-23,21:45,UEFA Nations League,League B,Fri,Away,D,1,1,fi Finland,52.0,20130.0,Răzvan Marin,4-3-3,Carlos del Cerro,Match Report,,16,6,0,0,0,0,Romania
33,2022-09-26,21:45,UEFA Nations League,League B,Mon,Home,W,4,1,ba Bosnia & Herz'na,47.0,12693.0,Nicolae Stanciu,4-2-3-1,Halil Umut Meler,Match Report,,17,7,0,0,2,0,Romania
34,2022-06-02,20:45,UEFA Nations League,League B,Thu,Home,L,0,1,no Norway,67.0,9726.0,Dušan Tadić,3-4-3,Paweł Raczkowski,Match Report,,13,5,0,0,1,0,Serbia
35,2022-06-05,20:45,UEFA Nations League,League B,Sun,Home,W,4,1,si Slovenia,61.0,10925.0,Aleksandar Mitrović,3-4-1-2,Jesús Gil,Match Report,,17,7,0,0,1,0,Serbia
36,2022-06-09,20:45,UEFA Nations League,League B,Thu,Away,W,1,0,se Sweden,56.0,24123.0,Dušan Tadić,3-4-3,Lawrence Visser,Match Report,,9,4,0,0,1,1,Serbia
37,2022-06-12,20:45,UEFA Nations League,League B,Sun,Away,D,2,2,si Slovenia,57.0,13782.0,Dušan Tadić,3-4-3,Maurizio Mariani,Match Report,,14,6,0,0,3,0,Serbia
38,2022-09-24,20:45,UEFA Nations League,League B,Sat,Home,W,4,1,se Sweden,53.0,14122.0,Dušan Tadić,3-5-2,Georgi Kabakov,Match Report,,14,7,0,0,3,0,Serbia
39,2022-09-27,20:45,UEFA Nations League,League B,Tue,Away,W,2,0,no Norway,53.0,24364.0,Dušan Tadić,3-5-2,Antonio Matéu,Match Report,,8,5,0,0,3,1,Serbia
40,2022-06-02,20:45,UEFA Nations League,League B,Thu,Away,W,2,0,si Slovenia,47.0,5123.0,Emil Forsberg,4-4-2,Ruddy Buquet,Match Report,,10,4,1,1,3,1,Sweden
41,2022-06-05,20:45,UEFA Nations League,League B,Sun,Home,L,1,2,no Norway,66.0,42320.0,Emil Forsberg,4-3-3,Anthony Taylor,Match Report,,13,3,0,0,6,0,Sweden
42,2022-06-09,20:45,UEFA Nations League,League B,Thu,Home,L,0,1,rs Serbia,44.0,24123.0,Robin Olsen,4-3-3,Lawrence Visser,Match Report,,11,1,0,0,3,0,Sweden
43,2022-06-12,18:00,UEFA Nations League,League B,Sun,Away,L,2,3,no Norway,46.0,24273.0,Emil Forsberg,4-3-3,Harm Osmers,Match Report,,14,4,0,0,2,0,Sweden
44,2022-09-24,20:45,UEFA Nations League,League B,Sat,Away,L,1,4,rs Serbia,47.0,14122.0,Victor Lindelöf,3-4-3,Georgi Kabakov,Match Report,,10,4,0,0,3,0,Sweden
45,2022-09-27,20:45,UEFA Nations League,League B,Tue,Home,D,1,1,si Slovenia,71.0,22895.0,Victor Lindelöf,4-4-2,Felix Zwayer,Match Report,,15,6,0,0,5,0,Sweden
46,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,0,3,at Austria,61.0,13994.0,Mateo Kovačić,4-1-4-1,Chris Kavanagh,Match Report,,13,3,0,0,6,0,Croatia
47,2022-06-06,20:45,UEFA Nations League,League A,Mon,Home,D,1,1,fr France,49.0,33869.0,Luka Modrić,4-1-4-1,Marco Guida,Match Report,,8,5,1,1,4,0,Croatia
48,2022-06-10,20:45,UEFA Nations League,League A,Fri,Away,W,1,0,dk Denmark,51.0,35862.0,Marcelo Brozović,4-2-3-1,Bartosz Frankowski,Match Report,,9,2,0,0,1,1,Croatia
49,2022-06-13,20:45,UEFA Nations League,League A,Mon,Away,W,1,0,fr France,46.0,774100.0,Luka Modrić,4-3-3,Orel Grinfeeld,Match Report,,4,3,1,1,4,1,Croatia
50,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,1,dk Denmark,49.0,22715.0,Luka Modrić,4-3-3,Davide Massa,Match Report,,12,4,0,0,3,0,Croatia
51,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,W,3,1,at Austria,54.0,45700.0,Luka Modrić,4-3-3,Artur Dias,Match Report,,10,5,0,0,5,0,Croatia
52,2023-06-14,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,W,4,2,nl Netherlands,54.0,39359.0,Luka Modrić,4-3-2-1,István Kovács,Match Report,Required Extra Time,14,5,2,2,4,0,Croatia
53,2023-06-18,20:45,UEFA Nations League,Final,Sun,Neutral,D,0 (4),0 (5),es Spain,46.0,41110.0,Luka Modrić,4-3-3,Felix Zwayer,Match Report,Spain won on penalty kicks following extra time,12,5,0,0,1,1,Croatia
54,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,2,1,fr France,40.0,75833.0,Kasper Schmeichel,4-2-3-1,Felix Zwayer,Match Report,,8,5,0,0,5,0,Denmark
55,2022-06-06,20:45,UEFA Nations League,League A,Mon,Away,W,2,1,at Austria,45.0,18700.0,Kasper Schmeichel,4-2-3-1,William Collum,Match Report,,8,6,0,0,0,0,Denmark
56,2022-06-10,20:45,UEFA Nations League,League A,Fri,Home,L,0,1,hr Croatia,49.0,35862.0,Christian Eriksen,4-3-1-2,Bartosz Frankowski,Match Report,,14,1,0,0,1,0,Denmark
57,2022-06-13,20:45,UEFA Nations League,League A,Mon,Home,W,2,0,at Austria,53.0,35230.0,Kasper Schmeichel,4-4-2,Alejandro Hernández,Match Report,,15,6,0,0,2,1,Denmark
58,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,L,1,2,hr Croatia,51.0,22715.0,Simon Kjær,4-3-3,Davide Massa,Match Report,,7,4,0,0,2,0,Denmark
59,2022-09-25,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,fr France,48.0,36064.0,Kasper Schmeichel,4-2-3-1,István Kovács,Match Report,,16,7,0,0,7,1,Denmark
60,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,2,dk Denmark,60.0,75833.0,Hugo Lloris,3-5-2,Felix Zwayer,Match Report,,19,6,0,0,3,0,France
61,2022-06-06,20:45,UEFA Nations League,League A,Mon,Away,D,1,1,hr Croatia,51.0,33869.0,Presnel Kimpembe,4-2-3-1,Marco Guida,Match Report,,7,5,0,0,4,0,France
62,2022-06-10,20:45,UEFA Nations League,League A,Fri,Away,D,1,1,at Austria,67.0,44800.0,Hugo Lloris,4-4-2,Anastasios Sidiropoulos,Match Report,,15,7,0,0,3,0,France
63,2022-06-13,20:45,UEFA Nations League,League A,Mon,Home,L,0,1,hr Croatia,54.0,774100.0,Presnel Kimpembe,4-4-2,Orel Grinfeeld,Match Report,,17,4,0,0,2,0,France
64,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,0,at Austria,61.0,70188.0,Raphaël Varane,3-4-1-2,Andreas Ekberg,Match Report,,22,6,0,0,0,2,France
65,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,dk Denmark,53.0,36064.0,Antoine Griezmann,3-4-1-2,István Kovács,Match Report,,17,7,0,0,5,0,France
66,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,3,0,hr Croatia,39.0,13994.0,Marko Arnautović,3-5-2,Chris Kavanagh,Match Report,,14,8,0,0,3,1,Austria
67,2022-06-06,20:45,UEFA Nations League,League A,Mon,Home,L,1,2,dk Denmark,55.0,18700.0,David Alaba,4-1-4-1,William Collum,Match Report,,17,1,0,0,4,0,Austria
68,2022-06-10,20:45,UEFA Nations League,League A,Fri,Home,D,1,1,fr France,33.0,44800.0,David Alaba,4-4-2,Anastasios Sidiropoulos,Match Report,,5,4,0,0,6,0,Austria
69,2022-06-13,20:45,UEFA Nations League,League A,Mon,Away,L,0,2,dk Denmark,47.0,35230.0,Marcel Sabitzer,4-4-2,Alejandro Hernández,Match Report,,9,2,0,0,4,0,Austria
70,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,L,0,2,fr France,40.0,70188.0,David Alaba,4-4-2,Andreas Ekberg,Match Report,,4,0,0,0,4,0,Austria
71,2022-09-25,20:45,UEFA Nations League,League A,Sun,Home,L,1,3,hr Croatia,47.0,45700.0,David Alaba,4-4-2,Artur Dias,Match Report,,18,6,0,0,2,0,Austria
72,2022-06-02,20:45,UEFA Nations League,League A,Thu,Home,D,1,1,pt Portugal,61.0,41236.0,Sergio Busquets,4-3-3,Michael Oliver,Match Report,,11,2,0,0,1,0,Spain
73,2022-06-05,20:45,UEFA Nations League,League A,Sun,Away,D,2,2,cz Czechia,80.0,18245.0,Koke,4-3-3,François Letexier,Match Report,,13,5,0,0,0,0,Spain
74,2022-06-09,20:45,UEFA Nations League,League A,Thu,Away,W,1,0,ch Switzerland,66.0,25875.0,Sergio Busquets,4-3-3,Serdar Gözübüyük,Match Report,,7,3,0,0,1,1,Spain
75,2022-06-12,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,cz Czechia,76.0,30389.0,Koke,4-3-3,Cüneyt Çakιr,Match Report,,9,4,0,0,2,1,Spain
76,2022-09-24,20:45,UEFA Nations League,League A,Sat,Home,L,1,2,ch Switzerland,75.0,31089.0,Sergio Busquets,4-3-3,Clément Turpin,Match Report,,8,4,0,0,3,0,Spain
77,2022-09-27,19:45,UEFA Nations League,League A,Tue,Away,W,1,0,pt Portugal,68.0,28196.0,Koke,4-3-3,Daniele Orsato,Match Report,,10,5,0,0,4,1,Spain
78,2023-06-15,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,W,2,1,it Italy,62.0,24558.0,Jordi Alba,4-2-3-1,Slavko Vinčič,Match Report,,19,7,0,0,2,0,Spain
